feature_code,name,type,year,age,sex,number_assessed
S12000026,Scottish Borders,Local Authority,2014/15,25 to 29 yrs old,All,28
S12000026,Scottish Borders,Local Authority,2014/15,30 to 34 yrs old,All,36
S12000026,Scottish Borders,Local Authority,2014/15,35 to 39 yrs old,All,26
S12000026,Scottish Borders,Local Authority,2014/15,40 to 44 yrs old,All,12
S12000026,Scottish Borders,Local Authority,2014/15,45+ yrs old,All,9
S12000026,Scottish Borders,Local Authority,2014/15,Unknown,All,0
S12000026,Scottish Borders,Local Authority,2015/16,Under 20yrs old,All,7
S12000026,Scottish Borders,Local Authority,2015/16,20 to 24 yrs old,All,24
S12000026,Scottish Borders,Local Authority,2015/16,25 to 29 yrs old,All,28
S12000026,Scottish Borders,Local Authority,2015/16,30 to 34 yrs old,All,31
S12000026,Scottish Borders,Local Authority,2015/16,35 to 39 yrs old,All,24
S12000026,Scottish Borders,Local Authority,2015/16,40 to 44 yrs old,All,18
S12000026,Scottish Borders,Local Authority,2015/16,45+ yrs old,All,20
S12000026,Scottish Borders,Local Authority,2015/16,Unknown,All,0
S12000026,Scottish Borders,Local Authority,2016/17,Under 20yrs old,All,8
S12000026,Scottish Borders,Local Authority,2016/17,20 to 24 yrs old,All,20
S12000026,Scottish Borders,Local Authority,2016/17,25 to 29 yrs old,All,35
S12000026,Scottish Borders,Local Authority,2016/17,30 to 34 yrs old,All,41
S12000026,Scottish Borders,Local Authority,2016/17,35 to 39 yrs old,All,44
S12000026,Scottish Borders,Local Authority,2016/17,40 to 44 yrs old,All,30
S12000026,Scottish Borders,Local Authority,2016/17,45+ yrs old,All,37
S12000026,Scottish Borders,Local Authority,2016/17,Unknown,All,0
S12000026,Scottish Borders,Local Authority,2017/18,Under 20yrs old,All,8
S12000026,Scottish Borders,Local Authority,2017/18,20 to 24 yrs old,All,22
S12000026,Scottish Borders,Local Authority,2017/18,25 to 29 yrs old,All,33
S12000026,Scottish Borders,Local Authority,2017/18,30 to 34 yrs old,All,33
S12000026,Scottish Borders,Local Authority,2017/18,35 to 39 yrs old,All,24
S12000026,Scottish Borders,Local Authority,2017/18,40 to 44 yrs old,All,18
S12000026,Scottish Borders,Local Authority,2017/18,45+ yrs old,All,18
S12000026,Scottish Borders,Local Authority,2017/18,Unknown,All,0
S12000026,Scottish Borders,Local Authority,2018/19,Under 20yrs old,All,6
S12000026,Scottish Borders,Local Authority,2018/19,20 to 24 yrs old,All,26
S12000026,Scottish Borders,Local Authority,2018/19,25 to 29 yrs old,All,37
S12000026,Scottish Borders,Local Authority,2018/19,30 to 34 yrs old,All,31
S12000026,Scottish Borders,Local Authority,2018/19,35 to 39 yrs old,All,41
S12000026,Scottish Borders,Local Authority,2018/19,40 to 44 yrs old,All,30
S12000026,Scottish Borders,Local Authority,2018/19,45+ yrs old,All,16
S12000026,Scottish Borders,Local Authority,2018/19,Unknown,All,0
S12000005,Clackmannanshire,Local Authority,2006/07,Under 20yrs old,All,11
S12000005,Clackmannanshire,Local Authority,2006/07,20 to 24 yrs old,All,24
S12000005,Clackmannanshire,Local Authority,2006/07,25 to 29 yrs old,All,24
S12000005,Clackmannanshire,Local Authority,2006/07,30 to 34 yrs old,All,24
S12000005,Clackmannanshire,Local Authority,2006/07,35 to 39 yrs old,All,26
S12000005,Clackmannanshire,Local Authority,2006/07,40 to 44 yrs old,All,15
S12000005,Clackmannanshire,Local Authority,2006/07,45+ yrs old,All,6
S12000005,Clackmannanshire,Local Authority,2006/07,Unknown,All,0
S12000005,Clackmannanshire,Local Authority,2007/08,Under 20yrs old,All,7
S12000005,Clackmannanshire,Local Authority,2007/08,20 to 24 yrs old,All,17
S12000005,Clackmannanshire,Local Authority,2007/08,25 to 29 yrs old,All,33
S12000005,Clackmannanshire,Local Authority,2007/08,30 to 34 yrs old,All,21
S12000005,Clackmannanshire,Local Authority,2007/08,35 to 39 yrs old,All,27
S12000005,Clackmannanshire,Local Authority,2007/08,40 to 44 yrs old,All,6
S12000005,Clackmannanshire,Local Authority,2007/08,45+ yrs old,All,5
S12000005,Clackmannanshire,Local Authority,2007/08,Unknown,All,0
S12000005,Clackmannanshire,Local Authority,2008/09,Under 20yrs old,All,8
S12000005,Clackmannanshire,Local Authority,2008/09,20 to 24 yrs old,All,16
S12000005,Clackmannanshire,Local Authority,2008/09,25 to 29 yrs old,All,44
S12000005,Clackmannanshire,Local Authority,2008/09,30 to 34 yrs old,All,32
S12000005,Clackmannanshire,Local Authority,2008/09,35 to 39 yrs old,All,16
S12000005,Clackmannanshire,Local Authority,2008/09,40 to 44 yrs old,All,7
S12000005,Clackmannanshire,Local Authority,2008/09,45+ yrs old,All,6
S12000005,Clackmannanshire,Local Authority,2008/09,Unknown,All,0
S12000005,Clackmannanshire,Local Authority,2009/10,Under 20yrs old,All,17
S12000005,Clackmannanshire,Local Authority,2009/10,20 to 24 yrs old,All,25
S12000005,Clackmannanshire,Local Authority,2009/10,25 to 29 yrs old,All,23
S12000005,Clackmannanshire,Local Authority,2009/10,30 to 34 yrs old,All,27
S12000005,Clackmannanshire,Local Authority,2009/10,35 to 39 yrs old,All,20
S12000005,Clackmannanshire,Local Authority,2009/10,40 to 44 yrs old,All,NA
S12000005,Clackmannanshire,Local Authority,2009/10,45+ yrs old,All,NA
S12000005,Clackmannanshire,Local Authority,2009/10,Unknown,All,0
S12000005,Clackmannanshire,Local Authority,2010/11,Under 20yrs old,All,30
S12000005,Clackmannanshire,Local Authority,2010/11,20 to 24 yrs old,All,27
S12000005,Clackmannanshire,Local Authority,2010/11,25 to 29 yrs old,All,30
S12000005,Clackmannanshire,Local Authority,2010/11,30 to 34 yrs old,All,37
S12000005,Clackmannanshire,Local Authority,2010/11,35 to 39 yrs old,All,21
S12000005,Clackmannanshire,Local Authority,2010/11,40 to 44 yrs old,All,NA
S12000005,Clackmannanshire,Local Authority,2010/11,45+ yrs old,All,NA
S12000005,Clackmannanshire,Local Authority,2010/11,Unknown,All,0
S12000005,Clackmannanshire,Local Authority,2011/12,Under 20yrs old,All,30
S12000005,Clackmannanshire,Local Authority,2011/12,20 to 24 yrs old,All,13
S12000005,Clackmannanshire,Local Authority,2011/12,25 to 29 yrs old,All,28
S12000005,Clackmannanshire,Local Authority,2011/12,30 to 34 yrs old,All,29
S12000005,Clackmannanshire,Local Authority,2011/12,35 to 39 yrs old,All,18
S12000005,Clackmannanshire,Local Authority,2011/12,40 to 44 yrs old,All,11
S12000005,Clackmannanshire,Local Authority,2011/12,45+ yrs old,All,7
S12000005,Clackmannanshire,Local Authority,2011/12,Unknown,All,0
S12000005,Clackmannanshire,Local Authority,2012/13,Under 20yrs old,All,27
S12000005,Clackmannanshire,Local Authority,2012/13,20 to 24 yrs old,All,24
S12000005,Clackmannanshire,Local Authority,2012/13,25 to 29 yrs old,All,27
S12000005,Clackmannanshire,Local Authority,2012/13,30 to 34 yrs old,All,23
S12000005,Clackmannanshire,Local Authority,2012/13,35 to 39 yrs old,All,18
S12000005,Clackmannanshire,Local Authority,2012/13,40 to 44 yrs old,All,12
S12000005,Clackmannanshire,Local Authority,2012/13,45+ yrs old,All,10
S12000005,Clackmannanshire,Local Authority,2012/13,Unknown,All,0
S12000005,Clackmannanshire,Local Authority,2013/14,Under 20yrs old,All,17
S12000005,Clackmannanshire,Local Authority,2013/14,20 to 24 yrs old,All,24
S12000005,Clackmannanshire,Local Authority,2013/14,25 to 29 yrs old,All,30
S12000005,Clackmannanshire,Local Authority,2013/14,30 to 34 yrs old,All,28
S12000005,Clackmannanshire,Local Authority,2013/14,35 to 39 yrs old,All,24
S12000005,Clackmannanshire,Local Authority,2013/14,40 to 44 yrs old,All,8
S12000005,Clackmannanshire,Local Authority,2013/14,45+ yrs old,All,13
S12000005,Clackmannanshire,Local Authority,2013/14,Unknown,All,0
S12000005,Clackmannanshire,Local Authority,2014/15,Under 20yrs old,All,8
S12000005,Clackmannanshire,Local Authority,2014/15,20 to 24 yrs old,All,18
S12000005,Clackmannanshire,Local Authority,2014/15,25 to 29 yrs old,All,30
S12000005,Clackmannanshire,Local Authority,2014/15,30 to 34 yrs old,All,36
S12000005,Clackmannanshire,Local Authority,2014/15,35 to 39 yrs old,All,31
S12000005,Clackmannanshire,Local Authority,2014/15,40 to 44 yrs old,All,26
S12000005,Clackmannanshire,Local Authority,2014/15,45+ yrs old,All,15
S12000005,Clackmannanshire,Local Authority,2014/15,Unknown,All,0
S12000005,Clackmannanshire,Local Authority,2015/16,Under 20yrs old,All,24
S12000005,Clackmannanshire,Local Authority,2015/16,20 to 24 yrs old,All,16
S12000005,Clackmannanshire,Local Authority,2015/16,25 to 29 yrs old,All,26
S12000005,Clackmannanshire,Local Authority,2015/16,30 to 34 yrs old,All,29
S12000005,Clackmannanshire,Local Authority,2015/16,35 to 39 yrs old,All,24
S12000005,Clackmannanshire,Local Authority,2015/16,40 to 44 yrs old,All,19
S12000005,Clackmannanshire,Local Authority,2015/16,45+ yrs old,All,16
S12000005,Clackmannanshire,Local Authority,2015/16,Unknown,All,0
S12000005,Clackmannanshire,Local Authority,2016/17,Under 20yrs old,All,15
S12000005,Clackmannanshire,Local Authority,2016/17,20 to 24 yrs old,All,18
S12000005,Clackmannanshire,Local Authority,2016/17,25 to 29 yrs old,All,24
S12000005,Clackmannanshire,Local Authority,2016/17,30 to 34 yrs old,All,35
S12000005,Clackmannanshire,Local Authority,2016/17,35 to 39 yrs old,All,17
S12000005,Clackmannanshire,Local Authority,2016/17,40 to 44 yrs old,All,11
S12000005,Clackmannanshire,Local Authority,2016/17,45+ yrs old,All,20
S12000005,Clackmannanshire,Local Authority,2016/17,Unknown,All,1
S12000005,Clackmannanshire,Local Authority,2017/18,Under 20yrs old,All,20
S12000005,Clackmannanshire,Local Authority,2017/18,20 to 24 yrs old,All,19
S12000005,Clackmannanshire,Local Authority,2017/18,25 to 29 yrs old,All,29
S12000005,Clackmannanshire,Local Authority,2017/18,30 to 34 yrs old,All,35
S12000005,Clackmannanshire,Local Authority,2017/18,35 to 39 yrs old,All,25
S12000005,Clackmannanshire,Local Authority,2017/18,40 to 44 yrs old,All,10
S12000005,Clackmannanshire,Local Authority,2017/18,45+ yrs old,All,19
S12000005,Clackmannanshire,Local Authority,2017/18,Unknown,All,1
S12000005,Clackmannanshire,Local Authority,2018/19,Under 20yrs old,All,12
S12000005,Clackmannanshire,Local Authority,2018/19,20 to 24 yrs old,All,22
S12000005,Clackmannanshire,Local Authority,2018/19,25 to 29 yrs old,All,35
S12000005,Clackmannanshire,Local Authority,2018/19,30 to 34 yrs old,All,40
S12000005,Clackmannanshire,Local Authority,2018/19,35 to 39 yrs old,All,27
S12000005,Clackmannanshire,Local Authority,2018/19,40 to 44 yrs old,All,16
S12000005,Clackmannanshire,Local Authority,2018/19,45+ yrs old,All,22
S12000005,Clackmannanshire,Local Authority,2018/19,Unknown,All,0
S12000006,Dumfries and Galloway,Local Authority,2006/07,Under 20yrs old,All,34
S12000006,Dumfries and Galloway,Local Authority,2006/07,20 to 24 yrs old,All,69
S12000006,Dumfries and Galloway,Local Authority,2006/07,25 to 29 yrs old,All,79
S12000006,Dumfries and Galloway,Local Authority,2006/07,30 to 34 yrs old,All,64
S12000006,Dumfries and Galloway,Local Authority,2006/07,35 to 39 yrs old,All,44
S12000006,Dumfries and Galloway,Local Authority,2006/07,40 to 44 yrs old,All,19
S12000006,Dumfries and Galloway,Local Authority,2006/07,45+ yrs old,All,9
S12000006,Dumfries and Galloway,Local Authority,2006/07,Unknown,All,0
S12000006,Dumfries and Galloway,Local Authority,2007/08,Under 20yrs old,All,18
S12000006,Dumfries and Galloway,Local Authority,2007/08,20 to 24 yrs old,All,53
S12000006,Dumfries and Galloway,Local Authority,2007/08,25 to 29 yrs old,All,41
S12000006,Dumfries and Galloway,Local Authority,2007/08,30 to 34 yrs old,All,35
S12000006,Dumfries and Galloway,Local Authority,2007/08,35 to 39 yrs old,All,34
S12000006,Dumfries and Galloway,Local Authority,2007/08,40 to 44 yrs old,All,14
S12000006,Dumfries and Galloway,Local Authority,2007/08,45+ yrs old,All,8
S12000006,Dumfries and Galloway,Local Authority,2007/08,Unknown,All,0
S12000006,Dumfries and Galloway,Local Authority,2008/09,Under 20yrs old,All,14
S12000006,Dumfries and Galloway,Local Authority,2008/09,20 to 24 yrs old,All,50
S12000006,Dumfries and Galloway,Local Authority,2008/09,25 to 29 yrs old,All,45
S12000006,Dumfries and Galloway,Local Authority,2008/09,30 to 34 yrs old,All,39
S12000006,Dumfries and Galloway,Local Authority,2008/09,35 to 39 yrs old,All,35
S12000006,Dumfries and Galloway,Local Authority,2008/09,40 to 44 yrs old,All,15
S12000006,Dumfries and Galloway,Local Authority,2008/09,45+ yrs old,All,8
S12000006,Dumfries and Galloway,Local Authority,2008/09,Unknown,All,0
S12000006,Dumfries and Galloway,Local Authority,2009/10,Under 20yrs old,All,17
S12000006,Dumfries and Galloway,Local Authority,2009/10,20 to 24 yrs old,All,32
S12000006,Dumfries and Galloway,Local Authority,2009/10,25 to 29 yrs old,All,44
S12000006,Dumfries and Galloway,Local Authority,2009/10,30 to 34 yrs old,All,45
S12000006,Dumfries and Galloway,Local Authority,2009/10,35 to 39 yrs old,All,38
S12000006,Dumfries and Galloway,Local Authority,2009/10,40 to 44 yrs old,All,26
S12000006,Dumfries and Galloway,Local Authority,2009/10,45+ yrs old,All,9
S12000006,Dumfries and Galloway,Local Authority,2009/10,Unknown,All,0
S12000006,Dumfries and Galloway,Local Authority,2010/11,Under 20yrs old,All,13
S12000006,Dumfries and Galloway,Local Authority,2010/11,20 to 24 yrs old,All,45
S12000006,Dumfries and Galloway,Local Authority,2010/11,25 to 29 yrs old,All,58
S12000006,Dumfries and Galloway,Local Authority,2010/11,30 to 34 yrs old,All,62
S12000006,Dumfries and Galloway,Local Authority,2010/11,35 to 39 yrs old,All,51
S12000006,Dumfries and Galloway,Local Authority,2010/11,40 to 44 yrs old,All,21
S12000006,Dumfries and Galloway,Local Authority,2010/11,45+ yrs old,All,19
S12000006,Dumfries and Galloway,Local Authority,2010/11,Unknown,All,0
S12000006,Dumfries and Galloway,Local Authority,2011/12,Under 20yrs old,All,13
S12000006,Dumfries and Galloway,Local Authority,2011/12,20 to 24 yrs old,All,52
S12000006,Dumfries and Galloway,Local Authority,2011/12,25 to 29 yrs old,All,62
S12000006,Dumfries and Galloway,Local Authority,2011/12,30 to 34 yrs old,All,54
S12000006,Dumfries and Galloway,Local Authority,2011/12,35 to 39 yrs old,All,40
S12000006,Dumfries and Galloway,Local Authority,2011/12,40 to 44 yrs old,All,25
S12000006,Dumfries and Galloway,Local Authority,2011/12,45+ yrs old,All,18
S12000006,Dumfries and Galloway,Local Authority,2011/12,Unknown,All,0
S12000006,Dumfries and Galloway,Local Authority,2012/13,Under 20yrs old,All,21
S12000006,Dumfries and Galloway,Local Authority,2012/13,20 to 24 yrs old,All,51
S12000006,Dumfries and Galloway,Local Authority,2012/13,25 to 29 yrs old,All,73
S12000006,Dumfries and Galloway,Local Authority,2012/13,30 to 34 yrs old,All,76
S12000006,Dumfries and Galloway,Local Authority,2012/13,35 to 39 yrs old,All,46
S12000006,Dumfries and Galloway,Local Authority,2012/13,40 to 44 yrs old,All,33
S12000006,Dumfries and Galloway,Local Authority,2012/13,45+ yrs old,All,22
S12000006,Dumfries and Galloway,Local Authority,2012/13,Unknown,All,0
S12000006,Dumfries and Galloway,Local Authority,2013/14,Under 20yrs old,All,36
S12000006,Dumfries and Galloway,Local Authority,2013/14,20 to 24 yrs old,All,43
S12000006,Dumfries and Galloway,Local Authority,2013/14,25 to 29 yrs old,All,82
S12000006,Dumfries and Galloway,Local Authority,2013/14,30 to 34 yrs old,All,87
S12000006,Dumfries and Galloway,Local Authority,2013/14,35 to 39 yrs old,All,52
S12000006,Dumfries and Galloway,Local Authority,2013/14,40 to 44 yrs old,All,38
S12000006,Dumfries and Galloway,Local Authority,2013/14,45+ yrs old,All,40
S12000006,Dumfries and Galloway,Local Authority,2013/14,Unknown,All,0
S12000006,Dumfries and Galloway,Local Authority,2014/15,Under 20yrs old,All,34
S12000006,Dumfries and Galloway,Local Authority,2014/15,20 to 24 yrs old,All,48
S12000006,Dumfries and Galloway,Local Authority,2014/15,25 to 29 yrs old,All,66
S12000006,Dumfries and Galloway,Local Authority,2014/15,30 to 34 yrs old,All,72
S12000006,Dumfries and Galloway,Local Authority,2014/15,35 to 39 yrs old,All,55
S12000006,Dumfries and Galloway,Local Authority,2014/15,40 to 44 yrs old,All,45
S12000006,Dumfries and Galloway,Local Authority,2014/15,45+ yrs old,All,34
S12000006,Dumfries and Galloway,Local Authority,2014/15,Unknown,All,0
S12000006,Dumfries and Galloway,Local Authority,2015/16,Under 20yrs old,All,31
S12000006,Dumfries and Galloway,Local Authority,2015/16,20 to 24 yrs old,All,35
S12000006,Dumfries and Galloway,Local Authority,2015/16,25 to 29 yrs old,All,70
S12000006,Dumfries and Galloway,Local Authority,2015/16,30 to 34 yrs old,All,72
S12000006,Dumfries and Galloway,Local Authority,2015/16,35 to 39 yrs old,All,64
S12000006,Dumfries and Galloway,Local Authority,2015/16,40 to 44 yrs old,All,41
S12000006,Dumfries and Galloway,Local Authority,2015/16,45+ yrs old,All,39
S12000006,Dumfries and Galloway,Local Authority,2015/16,Unknown,All,0
S12000006,Dumfries and Galloway,Local Authority,2016/17,Under 20yrs old,All,21
S12000006,Dumfries and Galloway,Local Authority,2016/17,20 to 24 yrs old,All,37
S12000006,Dumfries and Galloway,Local Authority,2016/17,25 to 29 yrs old,All,57
S12000006,Dumfries and Galloway,Local Authority,2016/17,30 to 34 yrs old,All,69
S12000006,Dumfries and Galloway,Local Authority,2016/17,35 to 39 yrs old,All,64
S12000006,Dumfries and Galloway,Local Authority,2016/17,40 to 44 yrs old,All,40
S12000006,Dumfries and Galloway,Local Authority,2016/17,45+ yrs old,All,43
S12000006,Dumfries and Galloway,Local Authority,2016/17,Unknown,All,0
S12000006,Dumfries and Galloway,Local Authority,2017/18,Under 20yrs old,All,15
S12000006,Dumfries and Galloway,Local Authority,2017/18,20 to 24 yrs old,All,38
S12000006,Dumfries and Galloway,Local Authority,2017/18,25 to 29 yrs old,All,47
S12000006,Dumfries and Galloway,Local Authority,2017/18,30 to 34 yrs old,All,82
S12000006,Dumfries and Galloway,Local Authority,2017/18,35 to 39 yrs old,All,72
S12000006,Dumfries and Galloway,Local Authority,2017/18,40 to 44 yrs old,All,36
S12000006,Dumfries and Galloway,Local Authority,2017/18,45+ yrs old,All,37
S12000006,Dumfries and Galloway,Local Authority,2017/18,Unknown,All,0
S12000006,Dumfries and Galloway,Local Authority,2018/19,Under 20yrs old,All,16
S12000006,Dumfries and Galloway,Local Authority,2018/19,20 to 24 yrs old,All,39
S12000006,Dumfries and Galloway,Local Authority,2018/19,25 to 29 yrs old,All,48
S12000006,Dumfries and Galloway,Local Authority,2018/19,30 to 34 yrs old,All,65
S12000006,Dumfries and Galloway,Local Authority,2018/19,35 to 39 yrs old,All,78
S12000006,Dumfries and Galloway,Local Authority,2018/19,40 to 44 yrs old,All,30
S12000006,Dumfries and Galloway,Local Authority,2018/19,45+ yrs old,All,48
S12000006,Dumfries and Galloway,Local Authority,2018/19,Unknown,All,0
S12000045,East Dunbartonshire,Local Authority,2006/07,Under 20yrs old,All,NA
S12000045,East Dunbartonshire,Local Authority,2006/07,20 to 24 yrs old,All,NA
S12000045,East Dunbartonshire,Local Authority,2006/07,25 to 29 yrs old,All,20
